code,level-front-120,level-future-120,trend,front-min_time,front-min_up_or_down,front-max_time,front-max_up_or_down,future-min_time,future-min_up_or_down,future-max_time,future-max_up_or_down,percent
300257.SZ开山股份,-0.37302070990902153,-1.8305535610716361,-1.4575328511626147,2023-05-14 00:00:00,-6.0091660840621985,2023-02-11 00:00:00,6.324340076229015,2023-09-11 00:00:00,-8.04957200684203,2023-07-09 00:00:00,5.142437028817378,0.4090909090909091
300499.SZ高澜股份,0.7012528645674854,-0.7501797646152673,-1.4514326291827526,2023-02-27 00:00:00,-5.125603649872964,2023-04-12 00:00:00,7.829269752166416,2023-07-15 00:00:00,-7.125582846071932,2023-08-10 00:00:00,6.096639899092359,0.6428571428571429
002727.SZ一心堂,0.40000241782204327,-1.047947891049875,-1.4479503088719183,2023-05-21 00:00:00,-6.748254451218663,2023-02-28 00:00:00,7.084014320765243,2023-07-20 00:00:00,-8.254868709305095,2023-06-28 00:00:00,5.176593096842721,0.6
300723.SZ一品红,-1.961635359988198,-3.40958520389412,-1.4479498439059222,2023-02-17 00:00:00,-7.1588641783701314,2023-04-19 00:00:00,6.330384838461233,2023-06-17 00:00:00,-8.381186408479977,2023-08-17 00:00:00,5.411567314802298,0.4444444444444444
600186.SH莲花健康,-1.283006963464795,-2.7159697967714496,-1.4329628333066546,2023-03-09 00:00:00,-8.12531326406652,2023-02-24 00:00:00,6.947559902407878,2023-06-17 00:00:00,-8.561043838063913,2023-08-23 00:00:00,5.016515222438862,0.4727272727272727
002192.SZ融捷股份,-1.0794005317193665,-2.504508307587788,-1.4251077758684216,2023-03-09 00:00:00,-8.922470297912973,2023-02-23 00:00:00,5.504009509529448,2023-09-05 00:00:00,-9.074165119804539,2023-08-22 00:00:00,3.2858348801954613,0.8333333333333334
300426.SZ唐德影视,-0.06557983145897361,-1.4898698001190527,-1.4242899686600792,2023-05-07 00:00:00,-6.821099626818625,2023-04-28 00:00:00,7.614984497969571,2023-07-06 00:00:00,-6.961475048524272,2023-09-29 00:00:00,5.530645623321656,0.5555555555555556
002881.SZ美格智能,0.9836923725611803,-0.43951624426158864,-1.423208616822769,2023-03-09 00:00:00,-5.675708202708201,2023-05-22 00:00:00,7.2945364412018225,2023-07-07 00:00:00,-7.46948755805378,2023-07-21 00:00:00,4.8905124419462185,0.8157894736842105
300684.SZ中石科技,1.2691721636424007,-0.15152485967918755,-1.4206970233215883,2023-02-02 00:00:00,-5.193804963648954,2023-03-27 00:00:00,9.557462599467998,2023-09-04 00:00:00,-5.737763430540668,2023-06-18 00:00:00,6.648185029653306,0.7272727272727273
300625.SZ三雄极光,1.0367007618578863,-0.3838342799893508,-1.4205350418472371,2023-05-01 00:00:00,-5.048688680662901,2023-02-14 00:00:00,7.542557456211123,2023-06-30 00:00:00,-6.751264555781325,2023-08-13 00:00:00,7.059058279639322,0.5348837209302325
300664.SZ鹏鹞环保,0.4552352211430409,-0.9642103402564552,-1.419445561399496,2023-02-17 00:00:00,-6.652076379366191,2023-04-09 00:00:00,6.756602408559468,2023-06-17 00:00:00,-7.885730090031306,2023-08-27 00:00:00,5.296248024317508,0.5789473684210527
601949.SH中国出版,2.419323792304945,1.0006984792616997,-1.4186253130432454,2023-02-17 00:00:00,-4.992668579709246,2023-04-14 00:00:00,10.0,2023-06-17 00:00:00,-6.865323552418202,2023-08-12 00:00:00,6.865033247779043,0.8913043478260869
603078.SH江化微,-0.9938094250846558,-2.4080311216460113,-1.4142216965613557,2023-04-21 00:00:00,-8.922678262274895,2023-02-14 00:00:00,5.283056838569019,2023-06-20 00:00:00,-8.885940555001753,2023-08-13 00:00:00,4.389741162192715,0.575
600674.SH川投能源,-0.5594340720388756,-1.9725138676860015,-1.4130797956471257,2023-04-02 00:00:00,-8.302844765999895,2023-04-27 00:00:00,6.326427980339776,2023-09-29 00:00:00,-7.61233107023948,2023-06-26 00:00:00,4.086742924362326,0.5277777777777778
002230.SZ科大讯飞,2.921554767286672,1.5089496445206034,-1.4126051227660685,2023-03-09 00:00:00,-5.105771470673159,2023-03-02 00:00:00,7.805143627716004,2023-07-07 00:00:00,-6.39131730233126,2023-08-29 00:00:00,6.131006443161819,0.8225806451612904
